"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 03:06:46:321 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","service-throughput","miss-rate","mean-ttfr","mean-latency","energy-per-task","coverage-entropy","field-mean","field-var"
"136","10","0.02","0.28","0.8","6","5000","0.0114","0.336734693877551","129.96666666666667","375.75555555555553","873.1052631578947","3.6674216660237224","0.8497778089573321","4.086493768109594"
"137","10","0.02","0.28","0.8","7","5000","0.0126","0.3173076923076923","131.6153846153846","377.25","792.2380952380952","4.050241873104118","0.8891670629356986","4.491183056443898"
"138","10","0.02","0.28","0.8","8","5000","0.0144","0.27522935779816515","158.8","374.1862745098039","693.8472222222222","3.862720869908763","0.9435985448502755","4.694830654401866"
"139","10","0.02","0.28","0.8","9","5000","0.013","0.26732673267326734","111.02985074626865","332.05434782608694","767.1538461538462","3.8644540960818445","0.7652480158787164","3.865210242297315"
"140","10","0.02","0.28","0.8","10","5000","0.013","0.2815533980582524","127.3731343283582","346.9574468085106","766.7692307692307","3.822495576187275","0.7919883016974492","3.9098999018830627"
"141","10","0.02","0.28","1.2","1","5000","0.0116","0.39622641509433965","101.35593220338983","410.47","859.8965517241379","3.875624613471746","1.027243902061466","4.9703791321056725"
"142","10","0.02","0.28","1.2","2","5000","0.0082","0.5","140.72093023255815","473.13483146067415","1219.1707317073171","3.5817754719274535","1.0810745493407106","5.845506109999428"
"143","10","0.02","0.28","1.2","3","5000","0.0064","0.5180722891566265","89.125","476.44","1557.71875","3.4664525855168917","0.8961767093343956","4.520788969357753"
"144","10","0.02","0.28","1.2","4","5000","0.0102","0.3883495145631068","144.16981132075472","431.31868131868134","979.7450980392157","3.563645896106499","1.0481802236484992","5.13590916008618"
"145","10","0.02","0.28","1.2","5","5000","0.0134","0.28431372549019607","166.18840579710144","387.6666666666667","746.0746268656717","3.93607517559499","0.918530042365122","4.556055092326682"
"146","10","0.02","0.28","1.2","6","5000","0.008","0.37209302325581395","91.925","406.69444444444446","1246.425","3.520880827021757","0.7955982525364685","3.9648757411783873"
